data_hora,local,magnitude,profundidade_km,longitude,latitude,nivel
2024-12-30 05:49:02.808,"13 km NW of Port-Vila, Vanuatu",5.1,66.612,168.2183,-17.6555,leve
2024-12-30 05:41:06.678,"63 km W of Coquimbo, Chile",5.5,10.0,-71.9959,-29.9272,leve
2024-12-30 05:40:49.297,"68 km W of Coquimbo, Chile",5.5,10.0,-72.0531,-29.9251,leve
2024-12-30 02:56:16.807,"18 km SE of Bangui, Philippines",5.5,34.0,120.9038,18.4391,leve
2024-12-29 22:20:41.330,"34 km NNW of Āwash, Ethiopia",5.1,10.0,40.0491,9.2754,leve
2024-12-28 19:57:19.641,"277 km WNW of Houma, Tonga",5.5,542.804,-177.8522,-20.4512,leve
2024-12-28 08:34:06.076,southern Mid-Atlantic Ridge,5.6,10.0,-4.8494,-52.1258,leve
2024-12-28 05:09:40.073,southern Mid-Atlantic Ridge,5.0,10.0,-14.3932,-13.7767,leve
2024-12-28 01:52:16.583,southern Mid-Atlantic Ridge,5.0,10.0,-14.4898,-13.8824,leve
2024-12-27 19:10:05.808,"50 km E of Tomioka, Japan",5.3,45.48,141.5863,37.3695,leve
2024-12-27 18:42:59.930,"20 km SE of Union, Philippines",5.4,63.0,126.2289,9.6146,leve
2024-12-27 12:47:37.696,Kuril Islands,6.8,146.0,151.236,47.2996,forte
2024-12-27 10:43:49.391,"Maug Islands region, Northern Mariana Islands",5.3,416.134,144.7414,19.5156,leve
2024-12-27 09:30:54.099,"146 km SSW of Merizo Village, Guam",5.3,10.0,143.9297,12.1603,leve
2024-12-27 05:30:07.144,northern Mid-Atlantic Ridge,5.9,10.0,-38.6982,34.0302,leve
2024-12-26 21:02:25.395,"Izu Islands, Japan region",5.8,7.0,141.8517,30.5023,leve
2024-12-26 10:26:20.024,"3 km ESE of Borbon, Philippines",5.3,24.23,125.927,8.473,leve
2024-12-26 00:52:39.508,"10 km ENE of Valdivia, Colombia",5.0,52.19,-75.298,7.3229,leve
2024-12-25 21:39:29.258,"224 km W of Port McNeill, Canada",5.0,10.0,-130.2621,50.5968,leve
2024-12-25 06:34:48.763,Fiji region,5.6,458.667,-177.6396,-19.0858,leve
2024-12-24 22:42:25.776,"25 km SE of Tinogasta, Argentina",5.9,138.0,-67.3646,-28.2047,leve
2024-12-24 05:39:34.842,northern Mid-Atlantic Ridge,5.0,10.0,-46.1986,24.6536,leve
2024-12-23 06:00:56.943,"41 km SSW of Guisa, Cuba",5.9,7.0,-76.6255,19.8862,leve
2024-12-23 04:51:08.666,"39 km S of Lata, Solomon Islands",5.0,57.023,165.8553,-11.0805,leve
2024-12-22 11:44:57.369,"111 km S of Akhiok, Alaska",5.0,27.4,-153.9737,55.9537,leve
2024-12-22 03:56:03.086,"110 km S of Akhiok, Alaska",5.2,2.0,-153.9543,55.9603,leve
2024-12-22 02:31:24.140,"93 km SE of Kirakira, Solomon Islands",5.1,45.912,162.6049,-10.954,leve
2024-12-22 00:51:05.219,"89 km W of Brandvlei, South Africa",5.2,10.0,19.5557,-30.381,leve
